job_title,seniority,skills,salary_min,salary_max,location,company
Data Scientist,Not specified,"['data science', 'computer science', 'hard science', 'data analysis', 'Artificial Intelligence', 'Generative AI', 'Agentic AI']",104652.35,104652.35,CINCINNATI GENERAL OFFICES,Procter & Gamble
Supply Chain Data Scientist,Mid-level to Senior,"['Predictive modeling', 'Prescriptive analytics', 'Optimization', 'Anomaly detection', 'Simulation modeling', 'Supply chain management', 'Data engineering collaboration', 'AI engineering', 'Stakeholder management']",145149.7,145149.7,,Stellantis
Senior Data Scientist,Senior,"['AI', 'predictive modeling', 'prescriptive analytics', 'optimization', 'anomaly detection', 'simulation models', 'supply chain analytics', 'data science']",175094.31,175094.31,,Stellantis
Data Scientist,Mid to Senior Level,"['Data Analysis', 'Predictive Analytics', 'Analytics Modeling', 'Data Product Development', 'Warranty Analytics', 'Quality Analytics', 'Scalable Analytics']",82963.55,82963.55,North America,Stellantis
Data Scientist,Senior,"['Data modeling', 'Algorithm development', 'Supply Chain knowledge', 'Stakeholder collaboration', 'Data engineering', 'Advanced analytics']",108276.3,108276.3,,Stellantis
Unknown,Unknown,[],144116.86,144116.86,Unknown,FM
Data Scientist,Not specified,"['data analytics', 'machine learning', 'artificial intelligence', 'predictive modeling']",120000.0,160000.0,Not specified,ManTech International
Bioinformatics Support I – Data Science & Informatics,Entry-level/Junior,"['Bioinformatics', 'Data Science', 'Informatics', 'Public health surveillance', 'Analytical skills', 'Technical support']",111689.49,111689.49,,Cherokee Federal
Lead Data Scientist,Lead,"['data science', 'analytical modeling', 'team leadership', 'intelligence analysis', 'prototype design', 'model deployment']",135000.0,200000.0,,ManTech International
Senior Data Scientist,Senior,"['data science', 'artificial intelligence', 'advanced analytical frameworks', 'cybersecurity', 'electronic warfare', 'information technology']",125000.0,175000.0,,Castellum Inc
Data Scientist,Mid-level to Senior,['TS/SCI with Polygraph security clearance'],143646.22,143646.22,,GliaCell Technologies
Data Scientist,,"['IoT', 'machine learning', 'artificial intelligence', 'structured data analysis', 'unstructured data analysis']",142083.62,142083.62,,Booz Allen Hamilton
Data Analytics & Reporting,Not specified,"['machine learning', 'deep learning', 'artificial intelligence', 'data modeling', 'predictive modeling', 'big data technology', 'structured data analysis', 'unstructured data analysis', 'advanced analytical algorithms']",176080.61,176080.61,Chicago (hybrid) - 320 S Canal Street,BMO Financial
